"Rank","Item"
"1","1000 Times"
"2","Gonna Get Over You"
"3","Hercules"
"4","Cassiopeia"
"5","Kaleidoscope Heart"
"6","Manhattan"
"7","King of Anything"
"8","Saint Honesty"
"9","Little Black Dress"
"10","Gravity"
"11","Uncharted"
"12","Someone Who Loves Me"
"13","She Used To Be Mine"
"14","Come Round Soon"
"15","Love Song"
"16","Brave"
"17","Bluebird"
"18","I Choose You"
"19","Fire"
"20","Never Ever Getting Rid Of Me"
"21","No Such Thing"
"22","Opening Up"
"23","Armor"
"24","Satellite Call"
"25","Door Number Three"
"26","Orpheus"
"27","Poetry by Dead Men"
"28","Vegas"
"29","Morningside"
"30","When He Sees Me"
"31","Many the Miles"
"32","Hold My Heart"
"33","Wicked Love"
"34","I Didn't Plan It"
"35","The Light"
"36","Machine Gun"
"37","Say You're Sorry"
"38","Eyes on You"
"39","If I Can't Have You"
"40","A Safe Place to Land (feat. John Legend)"
"41","Breathe Again"
"42","Red"
"43","Not Alone"
"44","Undertow"
"45","What's Inside"
"46","Love On the Rocks"
"47","Let The Rain"
"48","December"
"49","Chasing The Sun"
"50","Bad Idea (feat. Jason Mraz)"
"51","Love on the Rocks"
"52","Islands"
"53","Miss Simone"
"54","Between the Lines"
"55","Soft Place To Land"
"56","One Sweet Love"
"57","Eden"
"58","Shiny"
"59","Inside Out"
"60","Everything Changes"
"61","City"
"62","You Matter To Me (feat. Jason Mraz)"
"63","Basket Case"
"64","Responsible"
"65","Bottle It Up"
"66","My Love"
"67","Lulu's Pie Song"
"68","Fairytale"
