,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Amidst the Chaos: Live from the Hollywood Bowl,1,1QUy1H74hnDbdGkqX52XRH,Orpheus / Fire - Live from the Hollywood Bowl,spotify:track:1QUy1H74hnDbdGkqX52XRH,0.576,0.353,0.64,0.000417,0.972,-8.466,0.0573,109.823,0.0722,38
1,Amidst the Chaos: Live from the Hollywood Bowl,2,1OlFCQZZJyNKPYrg9AKQu4,Poetry by Dead Men - Live from the Hollywood Bowl,spotify:track:1OlFCQZZJyNKPYrg9AKQu4,0.562,0.269,0.725,1.31e-06,0.917,-6.261,0.09,79.047,0.314,33
2,Amidst the Chaos: Live from the Hollywood Bowl,3,6M33bawYJyKmyf3GowbDnh,Eyes on You - Live from the Hollywood Bowl,spotify:track:6M33bawYJyKmyf3GowbDnh,0.131,0.266,0.777,2.56e-06,0.954,-5.565,0.0596,167.856,0.277,36
3,Amidst the Chaos: Live from the Hollywood Bowl,4,1JTNBVdxzHPzlAloIsZHb0,I Choose You - Live from the Hollywood Bowl,spotify:track:1JTNBVdxzHPzlAloIsZHb0,0.408,0.385,0.709,3.58e-05,0.755,-7.465,0.313,80.484,0.307,32
4,Amidst the Chaos: Live from the Hollywood Bowl,5,0aCaet0f6e1G5wG4j7OA2a,Love Song - Live from the Hollywood Bowl,spotify:track:0aCaet0f6e1G5wG4j7OA2a,0.444,0.419,0.62,0.0,0.648,-6.773,0.132,101.09,0.272,34
5,Amidst the Chaos: Live from the Hollywood Bowl,6,6uLj2WPEmzj22Z3x1JwAP7,Armor - Live from the Hollywood Bowl,spotify:track:6uLj2WPEmzj22Z3x1JwAP7,0.217,0.312,0.84,0.0,0.934,-6.442,0.314,165.0,0.376,30
6,Amidst the Chaos: Live from the Hollywood Bowl,7,1GPkiYVvAfliw87ljEpeDy,If I Can't Have You (feat. Emily King) - Live from the Hollywood Bowl,spotify:track:1GPkiYVvAfliw87ljEpeDy,0.64,0.474,0.703,0.0,0.182,-6.573,0.18,87.107,0.408,31
7,Amidst the Chaos: Live from the Hollywood Bowl,8,2rpkSg70Noo3eijdlJEFML,Miss Simone - Live from the Hollywood Bowl,spotify:track:2rpkSg70Noo3eijdlJEFML,0.624,0.486,0.388,0.0,0.974,-12.382,0.0404,125.987,0.277,29
8,Amidst the Chaos: Live from the Hollywood Bowl,9,0weacUix8AvZWJUEtXm6WA,Someone Who Loves Me (feat. The Milk Carton Kids) - Live from the Hollywood Bowl,spotify:track:0weacUix8AvZWJUEtXm6WA,0.883,0.416,0.319,1.21e-05,0.746,-10.393,0.0332,120.385,0.149,30
9,Amidst the Chaos: Live from the Hollywood Bowl,10,0bPpzBO2xDjwnPLHcqYRWQ,Soft Place to Land - Live from the Hollywood Bowl,spotify:track:0bPpzBO2xDjwnPLHcqYRWQ,0.755,0.286,0.48,0.0,0.175,-7.827,0.0426,81.75,0.248,28
